passenger_count,trip_distance,trip_duration_minutes,pickup_hour,pickup_dayofweek,PULocationID,DOLocationID,high_revenue_trip
1,0.72,3.45,0,5,142,143,0
1,1.4,6.55,0,5,48,239,0
1,0.56,4.0,0,5,143,239,0
1,2.4,9.383333333333333,0,5,144,186,0
1,4.17,18.95,0,5,141,249,1
1,3.16,12.466666666666667,0,5,249,50,0
1,2.62,10.6,0,5,230,236,0
2,3.53,16.483333333333334,0,5,114,141,0
1,2.11,12.9,0,5,79,231,0
1,3.19,13.466666666666667,0,5,231,233,0
1,4.4,15.233333333333333,0,5,164,13,1
1,4.01,19.366666666666667,0,5,48,211,1
5,6.1,35.93333333333333,23,4,239,260,1
1,5.03,16.533333333333335,0,5,68,151,1
1,1.2,7.883333333333334,0,5,230,170,0
1,1.3,8.733333333333333,0,5,79,45,0
1,1.07,5.016666666666667,0,5,161,141,0
1,7.66,20.966666666666665,0,5,163,65,1
1,2.77,9.783333333333333,0,5,161,263,0
1,2.77,9.783333333333333,0,5,161,263,0
1,1.32,6.333333333333333,0,5,230,164,0
1,0.5,3.0833333333333335,0,5,114,79,0
1,2.89,10.233333333333333,0,5,79,229,0
1,1.58,6.533333333333333,0,5,230,239,0
1,3.4,15.05,0,5,148,100,0
4,12.9,22.5,0,5,132,19,1
1,2.23,10.45,0,5,230,43,0
1,2.23,10.45,0,5,230,238,0
1,0.63,4.783333333333333,0,5,142,143,0
1,0.64,2.8833333333333333,0,5,48,50,0
1,1.75,8.45,0,5,114,87,0
1,1.58,8.0,0,5,162,107,0
1,3.87,12.933333333333334,0,5,161,231,0
1,12.52,26.466666666666665,0,5,138,35,1
1,0.73,3.8,0,5,234,246,0
2,1.1,6.25,0,5,246,249,0
1,1.83,10.266666666666667,0,5,158,231,0
1,2.15,8.933333333333334,0,5,125,234,0
2,3.39,19.9,0,5,164,263,1
2,19.32,35.016666666666666,0,5,132,263,1
1,3.03,14.866666666666667,0,5,100,238,0
1,4.99,10.366666666666667,0,5,238,243,0
4,12.05,37.583333333333336,0,5,132,181,1
1,2.1,8.016666666666667,0,5,148,170,0
1,0.5,2.8666666666666667,0,5,263,236,0
1,1.3,6.2,0,5,246,48,0
2,0.69,3.7333333333333334,0,5,162,233,0
1,1.0,5.75,0,5,230,233,0
1,1.36,3.4,0,5,229,137,0
1,11.48,30.283333333333335,0,5,132,19,0
1,11.48,30.283333333333335,0,5,132,19,1
2,5.65,15.183333333333334,0,5,48,116,1
1,4.35,12.866666666666667,0,5,236,159,0
1,4.35,12.866666666666667,0,5,236,159,0
1,7.07,15.716666666666667,0,5,132,258,1
1,3.4,13.633333333333333,0,5,148,163,0
1,0.9,3.5,0,5,137,79,0
1,1.1,3.8833333333333333,0,5,50,246,0
1,2.02,9.433333333333334,0,5,142,263,0
1,0.87,4.7,0,5,211,113,0
5,1.2,6.633333333333334,0,5,163,141,0
5,2.28,10.216666666666667,0,5,161,68,0
1,1.13,7.45,0,5,141,236,0
2,1.51,7.666666666666667,0,5,229,164,0
1,2.65,10.933333333333334,0,5,249,88,0
1,2.06,7.3,0,5,249,13,0
1,4.76,15.583333333333334,0,5,237,211,1
1,2.92,6.8,0,5,132,216,0
2,0.02,0.15,0,5,238,151,1
1,2.26,6.85,0,5,224,148,0
1,0.5,2.2,0,5,45,87,0
1,3.28,12.533333333333333,0,5,87,249,0
1,2.99,19.016666666666666,0,5,114,48,0
1,2.8,12.4,0,5,68,230,0
2,3.65,17.466666666666665,0,5,230,41,1
1,3.15,11.9,0,5,107,141,0
1,2.73,11.5,0,5,237,74,0
1,1.77,8.183333333333334,0,5,148,261,0
1,2.1,9.533333333333333,0,5,42,74,0
1,0.6,4.016666666666667,0,5,74,41,0
2,1.3,3.533333333333333,0,5,229,262,0
3,0.6,8.933333333333334,0,5,237,237,0
1,1.24,4.733333333333333,0,5,48,142,0
3,4.33,19.516666666666666,0,5,237,41,0
1,1.25,7.416666666666667,0,5,234,158,0
1,1.55,4.166666666666667,0,5,249,186,0
2,7.29,15.116666666666667,0,5,79,74,0
2,7.29,15.116666666666667,0,5,79,74,1
2,1.21,7.666666666666667,0,5,137,186,0
1,4.1,15.616666666666667,0,5,100,261,0
1,10.25,14.566666666666666,0,5,138,162,1
1,6.92,18.816666666666666,0,5,132,130,0
1,6.92,18.816666666666666,0,5,132,130,1
1,3.17,15.166666666666666,0,5,68,141,0
1,1.53,8.45,0,5,249,79,0
3,1.02,5.5,0,5,125,144,0
1,25.77,38.38333333333333,0,5,170,265,1
1,2.89,8.733333333333333,0,5,151,48,0
1,2.45,12.0,0,5,68,148,0
1,1.85,8.283333333333333,0,5,138,70,0
1,1.8,8.65,0,5,114,87,0
1,1.35,6.516666666666667,0,5,114,107,0
1,9.2,14.95,0,5,138,79,1
1,10.95,25.816666666666666,0,5,138,142,1
1,9.5,22.95,0,5,138,151,1
1,3.8,20.1,0,5,148,246,0
3,2.22,8.516666666666667,0,5,164,144,0
1,9.87,23.783333333333335,0,5,239,65,1
1,4.21,17.033333333333335,0,5,230,42,1
1,1.62,9.333333333333334,0,5,249,148,0
1,6.07,19.4,0,5,79,238,1
1,1.56,11.133333333333333,0,5,161,100,0
1,1.53,5.766666666666667,0,5,162,263,0
1,1.37,8.733333333333333,0,5,186,48,0
1,1.54,7.35,0,5,48,246,0
1,0.84,5.533333333333333,0,5,163,237,0
1,0.7,4.616666666666666,0,5,230,162,0
1,3.47,16.65,0,5,144,49,1
1,1.03,6.433333333333334,0,5,255,80,0
1,4.33,20.416666666666668,0,5,249,140,1
5,2.36,7.75,0,5,48,239,0
5,2.35,7.75,1,5,48,238,0
1,1.35,6.816666666666666,0,5,141,262,0
2,2.0,10.283333333333333,0,5,68,50,0
1,1.87,12.533333333333333,0,5,50,229,0
1,0.5,4.333333333333333,0,5,164,234,0
3,2.6,11.45,0,5,114,163,0
1,1.1,5.6,0,5,230,170,0
1,2.4,12.55,0,5,161,143,0
1,2.9,14.033333333333333,0,5,163,224,0
